Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,LineItemInsurance,Manufacturing country,Manufacturing_Country_Lat,Manufacturing_Country_Lon,Warehouse_Country_Lat,Warehouse_Country_Lon,Distance_to_Warehouse_mi,Delay
South Africa,DDP,Truck,2009-07-31,2009-04-21,S. BUYS WHOLESALER,10,84.0,8.4,0.1,No,0.16,United Kingdom,54.7023545,-3.2765753,-28.8166236,24.991639,6010,-101
South Africa,DDP,Truck,2009-05-15,2009-05-15,S. BUYS WHOLESALER,80,1502.4,18.78,0.63,Yes,2.94,France,46.603354,1.8883335,-28.8166236,24.991639,5407,0
Vietnam,CIP,Air,2009-07-23,2009-07-23,BRISTOL-MYERS SQUIBB,80,560.0,7.0,0.12,No,1.1,France,46.603354,1.8883335,15.9266657,107.9650855,7815,0
South Africa,DDP,Truck,2009-12-10,2009-07-21,S. BUYS WHOLESALER,1000,17020.0,17.02,0.57,No,33.36,India,22.3511148,78.6677428,-28.8166236,24.991639,5026,-142
South Africa,DDP,Truck,2009-12-10,2009-07-21,S. BUYS WHOLESALER,260,10670.4,41.04,1.37,No,20.91,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,-142
South Africa,DDP,Truck,2009-12-10,2009-10-08,S. BUYS WHOLESALER,1200,2796.0,2.33,0.01,Yes,6.03,India,22.3511148,78.6677428,-28.8166236,24.991639,5026,-63
Haiti,EXW,Air,2008-02-18,2008-02-18,"Trinity Biotech, Plc",2,278.0,139.0,1.39,Yes,0.44,India,22.3511148,78.6677428,19.1399952,-72.3570972,6831,0
Haiti,EXW,Air,2008-02-18,2008-02-18,"Trinity Biotech, Plc",250,34750.0,139.0,1.39,Yes,55.6,India,22.3511148,78.6677428,19.1399952,-72.3570972,6831,0
South Africa,DDP,Truck,2008-05-02,2008-01-21,"JSI R&T INSTITUTE, INC.",600,3426.0,5.71,0.1,No,5.48,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-102
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,80,2252.0,28.15,0.31,No,3.6,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,0
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,10,91.9,9.19,0.11,No,0.15,United Kingdom,54.7023545,-3.2765753,-28.8166236,24.991639,6010,0
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,1000,4890.0,4.89,0.08,No,7.82,France,46.603354,1.8883335,-28.8166236,24.991639,5407,0
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,200,596.0,2.98,0.1,No,0.95,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,0
South Africa,DDP,Truck,2008-08-20,2008-05-08,S. BUYS WHOLESALER,80,2572.0,32.15,0.36,No,4.12,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,-104
South Africa,DDP,Truck,2008-08-20,2008-05-14,S. BUYS WHOLESALER,20,765.0,38.25,1.27,No,1.22,Germany,51.1638175,10.4478313,-28.8166236,24.991639,5597,-98
South Africa,DDP,Truck,2008-08-20,2008-05-14,S. BUYS WHOLESALER,4,285.52,71.38,0.26,No,0.46,Switzerland,46.7985624,8.2319736,-28.8166236,24.991639,5328,-98
South Africa,DDP,Truck,2008-08-25,2008-08-18,S. BUYS WHOLESALER,550,6820.0,12.4,0.21,No,10.91,Australia,-24.7761086,134.755,-28.8166236,24.991639,6484,-7
South Africa,DDP,Truck,2008-08-25,2008-08-14,S. BUYS WHOLESALER,10,125.4,12.54,0.06,No,0.2,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-11
