Line Item Quantity,Line Item Value,Pack Price,Unit Price,LineItemInsurance
-0.44407805293303987,-0.43510986194987833,-0.5432594220437145,-0.24121139934237362,-0.45707693088337026
-0.46022134664138975,-0.43423554370848927,3.385274137258821,0.30320250239973917,-0.4561320320773036
-0.45429217395221183,-0.4351230652824371,-0.5432594220437145,-0.24121139934237362,-0.457098905274209
-0.46012169668022707,-0.4338263692121692,1.3646189523207806,-0.14329522996429578,-0.45567056986968957
-0.44532367744757306,-0.43232911130000923,-0.5025580167239386,-0.2372947525672505,-0.4540444649476214
-0.3233023000039041,-0.43495374059318387,-0.5432594220437145,-0.24121139934237362,-0.45690113575666014
-0.4598974842676111,-0.43290419694106724,0.7591855481891141,0.6596173589359424,-0.4546597478911066
-0.4597729218161578,-0.4347978124559903,-0.39741271964785085,-0.2059615783662656,-0.4566594174574338
-0.45777992259290473,-0.42899285458516917,-0.004813747500845948,0.009453994265505666,-0.45039671606838716
-0.4435798031272266,-0.43182963889028747,-0.5002968275395066,-0.2372947525672505,-0.45349510517665237
-0.4595237969132511,-0.4317513849924394,0.4451629002011208,-0.014045886385233035,-0.4534072076132973
-0.45902554710743787,-0.4328878376899945,-0.14981250395254753,-0.2177115186916349,-0.4546597478911066
-0.46002204671906444,-0.43410029005788764,0.3609336030810291,0.3854520846773246,-0.45597821134143224
-0.46004695920935507,-0.4336700546359739,0.8810071155003877,0.4167852588783095,-0.45514318448955937
-0.458278172398718,-0.4292363111562521,0.10315803605578178,0.05645375556698303,-0.44921009896309416
-0.4572816727870915,-0.42628906970314234,0.10315803605578178,0.05645375556698303,-0.44527668300295614
-0.44532367744757306,-0.4323677552001811,-0.5031233140200466,-0.2372947525672505,-0.4534072076132973
-0.4600967841899364,-0.4348366173724129,-0.17468558498129944,-0.15504517028966514,-0.4567033662391113
-0.4592746720103445,-0.4307009149727668,0.42848662996593495,-0.19812828481601938,-0.45116581974774383
-0.4575806226705794,-0.4220884777544576,0.5163903595107286,0.34628561692609344,-0.4396512389482336
-0.3849108884927145,-0.28209209348798653,-0.09950104459893563,-0.0375457670359717,-0.25242942900199855
