Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
South Africa,DDP,Air,4-Jul-09,3-Dec-08,S. BUYS WHOLESALER,1008,3588.48,3.56,0.01,No,Freight Included in Commodity Cost,7.03,India
South Africa,DDP,Air,5-May-09,23-Dec-08,S. BUYS WHOLESALER,960,1152.0,1.2,0.01,Yes,Freight Included in Commodity Cost,2.26,France
South Africa,DDP,Air,5-Dec-09,30-Dec-08,S. BUYS WHOLESALER,1800,10512.0,5.84,0.02,Yes,Freight Included in Commodity Cost,20.6,Saudi Arabia
South Africa,DDP,Air,31-Mar-09,21-Nov-08,S. BUYS WHOLESALER,1200,3384.0,2.82,0.05,Yes,Freight Included in Commodity Cost,6.63,India
South Africa,DDP,Air,25-Jun-09,21-Apr-09,S. BUYS WHOLESALER,346,1954.9,5.65,0.02,Yes,Freight Included in Commodity Cost,3.83,India
South Africa,DDP,Truck,25-Jun-09,5-Jun-09,S. BUYS WHOLESALER,5300,16642.0,3.14,0.1,Yes,Freight Included in Commodity Cost,32.62,India
South Africa,DDP,Air,25-Jun-09,17-Jun-09,S. BUYS WHOLESALER,342,1932.3,5.65,0.02,Yes,Freight Included in Commodity Cost,3.79,India
South Africa,DDP,Truck,19-Aug-09,19-Aug-09,S. BUYS WHOLESALER,2700,10665.0,3.95,0.07,Yes,Freight Included in Commodity Cost,20.9,France
South Africa,DDP,Air,25-Jun-09,14-Apr-09,S. BUYS WHOLESALER,3735,134385.3,35.98,0.3,Yes,Freight Included in Commodity Cost,263.4,Germany
South Africa,DDP,Air,25-Jun-09,29-Apr-09,S. BUYS WHOLESALER,6000,80640.0,13.44,0.22,Yes,Freight Included in Commodity Cost,158.05,Australia
South Africa,DDP,Air,25-Jun-09,20-Apr-09,S. BUYS WHOLESALER,11672,35016.0,3.0,0.05,Yes,Freight Included in Commodity Cost,68.63,India
South Africa,DDP,Truck,31-Jul-09,21-Apr-09,S. BUYS WHOLESALER,30,1080.0,36.0,0.12,Yes,Freight Included in Commodity Cost,2.12,United Kingdom
South Africa,DDP,Truck,15-May-09,17-Apr-09,S. BUYS WHOLESALER,80,2816.0,35.2,1.17,Yes,Freight Included in Commodity Cost,5.52,Saudi Arabia
South Africa,DDP,Truck,15-May-09,23-Apr-09,S. BUYS WHOLESALER,1000,19770.0,19.77,0.33,Yes,3134.85,38.75,India
South Africa,DDP,Truck,28-Jul-09,28-Jul-09,S. BUYS WHOLESALER,50,490.0,9.8,0.12,Yes,Freight Included in Commodity Cost,0.96,United Kingdom
South Africa,DDP,Truck,10-Dec-09,5-Aug-09,S. BUYS WHOLESALER,5000,41300.0,8.26,0.14,Yes,Freight Included in Commodity Cost,80.95,India
South Africa,DDP,Truck,10-Dec-09,28-Jul-09,S. BUYS WHOLESALER,460,2838.2,6.17,0.03,Yes,Freight Included in Commodity Cost,5.56,Saudi Arabia
Côte d'Ivoire,CIP,Air,10-Feb-07,2-Oct-07,BRISTOL-MYERS SQUIBB,4270,40565.0,9.5,0.16,No,Freight Included in Commodity Cost,64.9,France
Kazakhstan,DDP,Air,27-Dec-07,27-Dec-07,Orasure Technologies Inc.,50,17500.0,350.0,3.5,Yes,Freight Included in Commodity Cost,28.0,Thailand
Côte d'Ivoire,EXW,Air,4-Aug-08,4-Apr-08,"Orgenics, Ltd",70,0.7,0.01,0.0,Yes,Invoiced Separately,0.0,India
Zimbabwe,EXW,Air,17-Nov-08,21-Oct-08,"Orgenics, Ltd",1634,16.34,0.01,0.0,Yes,Invoiced Separately,0.03,India
South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,400,15760.0,39.4,0.22,No,Freight Included in Commodity Cost,25.22,United Kingdom
